Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.67,2.12,0.21,2903.5
ICICI Bank,remitter,96.88,2.69,0.43,2316.4
Axis Bank,remitter,97.08,2.16,0.76,1534.4
State Bank of India,remitter,96.27,3.15,0.58,3726.4
Punjab National Bank,remitter,93.07,4.25,2.68,778.3
Bank of Baroda,remitter,94.03,4.06,1.91,633.4
Canara Bank,remitter,94.74,3.34,1.92,520.7
Kotak Mahindra Bank,remitter,97.33,1.92,0.74,1027.1
IndusInd Bank,remitter,96.39,2.63,0.98,499.8
HDFC Bank,beneficiary,99.49,0.3,0.21,2795.9
State Bank of India,beneficiary,98.34,0.74,0.93,3630.7
Punjab National Bank,beneficiary,97.43,0.48,2.09,830.7
