Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.43,2.14,0.43,2724.8
ICICI Bank,remitter,97.1,2.29,0.61,2328.2
Axis Bank,remitter,97.52,1.89,0.59,1673.6
State Bank of India,remitter,95.54,3.29,1.17,4018.0
Punjab National Bank,remitter,93.33,4.47,2.2,814.8
Bank of Baroda,remitter,94.3,4.05,1.65,621.7
Canara Bank,remitter,94.7,3.51,1.78,525.2
Kotak Mahindra Bank,remitter,97.72,1.61,0.67,1061.1
IndusInd Bank,remitter,96.57,2.68,0.75,517.0
HDFC Bank,beneficiary,99.49,0.42,0.09,2627.7
State Bank of India,beneficiary,98.18,0.78,1.04,4081.2
Punjab National Bank,beneficiary,97.14,0.67,2.18,811.4
