Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.73,1.92,0.35,2962.0
ICICI Bank,remitter,97.4,2.29,0.31,2040.1
Axis Bank,remitter,97.31,2.12,0.56,1492.4
State Bank of India,remitter,95.97,3.17,0.86,3665.0
Punjab National Bank,remitter,94.0,4.09,1.91,803.0
Bank of Baroda,remitter,94.24,3.91,1.85,695.4
Canara Bank,remitter,95.29,3.34,1.37,511.6
Kotak Mahindra Bank,remitter,97.7,1.81,0.49,1078.8
IndusInd Bank,remitter,95.33,2.79,1.88,484.4
HDFC Bank,beneficiary,99.5,0.24,0.2,2923.6
State Bank of India,beneficiary,98.25,0.84,0.91,3687.8
Punjab National Bank,beneficiary,97.12,0.7,2.17,878.1
