Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.64,2.07,0.29,2699.2
ICICI Bank,remitter,96.88,2.64,0.48,2262.2
Axis Bank,remitter,97.45,1.96,0.59,1580.0
State Bank of India,remitter,95.89,3.12,0.99,3803.3
Punjab National Bank,remitter,93.49,4.22,2.3,839.7
Bank of Baroda,remitter,94.6,3.77,1.63,659.3
Canara Bank,remitter,94.9,3.48,1.61,566.4
Kotak Mahindra Bank,remitter,97.76,1.77,0.47,1039.4
IndusInd Bank,remitter,95.66,2.76,1.58,448.7
HDFC Bank,beneficiary,98.97,0.67,0.36,2846.5
State Bank of India,beneficiary,98.4,0.57,1.03,3822.0
Punjab National Bank,beneficiary,96.89,0.58,2.54,826.8
