Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.68,2.21,0.11,2968.4
ICICI Bank,remitter,96.98,2.58,0.44,2086.9
Axis Bank,remitter,97.4,1.84,0.76,1548.4
State Bank of India,remitter,96.38,2.94,0.67,3588.9
Punjab National Bank,remitter,93.86,4.01,2.13,856.6
Bank of Baroda,remitter,94.41,3.8,1.79,631.7
Canara Bank,remitter,94.22,3.54,2.24,572.7
Kotak Mahindra Bank,remitter,97.67,1.79,0.54,1022.2
IndusInd Bank,remitter,95.39,2.55,2.06,448.2
HDFC Bank,beneficiary,99.27,0.5,0.22,2916.7
State Bank of India,beneficiary,98.37,0.72,0.91,3785.0
Punjab National Bank,beneficiary,97.5,0.56,1.94,868.9
