Bank,Role,Approved %,Business Decline %,Technical Decline %,Volume (Mn)
HDFC Bank,remitter,97.81,1.99,0.2,2784.3
ICICI Bank,remitter,97.18,2.44,0.39,2190.6
Axis Bank,remitter,97.43,1.84,0.72,1515.4
State Bank of India,remitter,95.75,3.19,1.06,3880.8
Punjab National Bank,remitter,93.74,4.44,1.82,852.9
Bank of Baroda,remitter,94.58,3.71,1.72,618.7
Canara Bank,remitter,94.68,3.52,1.81,537.9
Kotak Mahindra Bank,remitter,97.62,1.85,0.52,1084.9
IndusInd Bank,remitter,96.42,2.73,0.85,495.1
HDFC Bank,beneficiary,99.3,0.5,0.2,2869.9
State Bank of India,beneficiary,97.92,0.81,1.27,3964.2
Punjab National Bank,beneficiary,96.81,0.7,2.49,777.5
